wid,rid,mid,date,comment,bill
0,0,127,2020-07-12,"diagnosed and repaired, no further issues",620.32
1,2,155,2020-07-16,flushed the system and refilled,266.5
2,3,203,2022-07-06,swapped out the old one for a new unit,525.78
3,4,124,2022-05-26,"filter and fluid change, should last a while",789.28
4,5,147,2024-11-20,"replaced worn components, all good",72.83
5,6,173,2025-06-30,"full replacement done, runs smooth",52.41
6,7,133,2023-01-07,"realigned and balanced, drives straight now",599.92
7,8,62,2025-12-03,"replaced worn components, all good",317.2
8,10,169,2020-03-12,"filter and fluid change, should last a while",135.14
9,12,245,2020-07-09,"welded the crack, structurally sound now",745.08
10,13,4,2022-10-26,flushed the system and refilled,167.42
11,14,15,2021-01-12,"diagnosed and repaired, no further issues",315.26
12,18,86,2024-02-15,"replaced the part, good to go",335.32
13,19,117,2024-10-20,"replaced worn components, all good",53.77
14,20,164,2025-08-27,"diagnosed and repaired, no further issues",43.41
15,21,184,2024-06-12,"patched it up, recommend replacing soon",550.62
16,24,44,2024-03-23,"replaced the part, good to go",185.58
17,26,217,2021-02-11,topped off fluids and tightened everything,264.74
18,27,8,2024-04-28,"full replacement done, runs smooth",489.33
19,28,228,2024-03-03,"welded the crack, structurally sound now",113.74
20,29,46,2025-08-23,"fixed the issue, test drove it",452.21
21,30,49,2023-11-03,swapped out the old one for a new unit,610.05
22,31,209,2020-04-08,"replaced worn components, all good",594.39
23,32,218,2025-03-12,"fixed the issue, test drove it",598.99
24,34,40,2022-07-31,"welded the crack, structurally sound now",317.89
25,37,166,2023-08-24,"cleaned and adjusted, should be fine now",112.17
26,39,217,2025-11-24,swapped out the old one for a new unit,44.29
27,41,21,2023-08-07,"cleaned and adjusted, should be fine now",737.72
28,42,10,2023-06-06,"replaced the part, good to go",720.73
29,44,32,2025-12-04,"cleaned and adjusted, should be fine now",420.95
30,46,167,2021-03-28,"diagnosed and repaired, no further issues",605.16
31,47,46,2021-01-03,"electrical issue fixed, tested all circuits",66.96
32,48,73,2025-11-21,"minor fix, just needed an adjustment",276.22
33,49,188,2020-04-26,"minor fix, just needed an adjustment",714.08
34,50,202,2024-07-05,"welded the crack, structurally sound now",449.31
35,52,37,2025-05-24,"full replacement done, runs smooth",174.97
36,54,40,2022-08-15,flushed the system and refilled,426.88
37,55,177,2023-06-09,"realigned and balanced, drives straight now",44.99
38,58,20,2025-10-27,"full replacement done, runs smooth",781.43
39,59,141,2023-12-22,"welded the crack, structurally sound now",250.63
40,61,106,2021-12-11,"full replacement done, runs smooth",308.4
41,62,148,2023-08-20,"cleaned and adjusted, should be fine now",599.01
42,64,69,2021-06-11,"full replacement done, runs smooth",35.18
43,65,145,2022-07-06,"filter and fluid change, should last a while",561.77
44,66,4,2020-07-12,"full replacement done, runs smooth",711.74
45,68,243,2025-06-06,"diagnosed and repaired, no further issues",145.61
46,69,160,2021-09-20,"welded the crack, structurally sound now",657.84
47,72,87,2020-06-04,"patched it up, recommend replacing soon",382.3
48,73,115,2025-01-26,"diagnosed and repaired, no further issues",563.53
49,75,120,2023-01-05,"minor fix, just needed an adjustment",727.26
50,76,66,2024-08-14,"diagnosed and repaired, no further issues",27.79
51,78,178,2020-04-09,"replaced worn components, all good",236.25
52,80,81,2022-05-10,"diagnosed and repaired, no further issues",380.06
53,84,222,2020-06-03,"full replacement done, runs smooth",91.97
54,87,231,2023-05-23,"minor fix, just needed an adjustment",412.6
55,89,116,2022-10-24,"cleaned and adjusted, should be fine now",447.96
56,90,39,2025-04-01,"minor fix, just needed an adjustment",72.5
57,94,153,2025-06-19,"minor fix, just needed an adjustment",642.4
58,95,37,2020-10-01,"full replacement done, runs smooth",557.44
59,96,18,2021-11-03,flushed the system and refilled,610.81
60,97,65,2021-01-21,"diagnosed and repaired, no further issues",45.81
61,98,87,2023-03-23,"filter and fluid change, should last a while",406.84
62,100,165,2020-09-04,"full replacement done, runs smooth",50.79
63,101,99,2022-04-24,"realigned and balanced, drives straight now",333.31
64,102,131,2020-04-15,"electrical issue fixed, tested all circuits",180.98
65,104,176,2020-05-10,flushed the system and refilled,336.1
66,105,78,2023-12-02,"filter and fluid change, should last a while",472.35
67,106,94,2024-05-03,"fixed the issue, test drove it",136.87
68,107,149,2022-02-19,swapped out the old one for a new unit,720.61
69,108,225,2021-05-21,"electrical issue fixed, tested all circuits",615.36
70,109,67,2024-11-20,"minor fix, just needed an adjustment",555.65
71,110,60,2024-06-07,flushed the system and refilled,556.4
72,111,21,2020-05-24,"full replacement done, runs smooth",638.65
73,112,21,2022-06-29,"replaced worn components, all good",91.34
74,113,157,2022-05-13,flushed the system and refilled,227.81
75,114,5,2022-07-01,"diagnosed and repaired, no further issues",27.14
76,116,179,2020-10-23,"diagnosed and repaired, no further issues",25.91
77,118,131,2023-04-30,"realigned and balanced, drives straight now",556.0
78,119,124,2022-10-14,"welded the crack, structurally sound now",104.65
79,120,43,2023-05-30,"diagnosed and repaired, no further issues",387.19
80,121,26,2023-06-23,"replaced the part, good to go",390.25
81,125,73,2021-10-08,topped off fluids and tightened everything,200.22
82,129,108,2022-05-11,"replaced worn components, all good",314.07
83,131,113,2021-08-08,"full replacement done, runs smooth",376.08
84,132,38,2020-01-14,"welded the crack, structurally sound now",252.59
85,133,21,2020-10-07,"replaced the part, good to go",278.83
86,134,17,2020-12-09,"replaced the part, good to go",742.94
87,135,146,2022-04-04,"replaced the part, good to go",64.71
88,136,120,2022-12-03,"filter and fluid change, should last a while",107.25
89,138,142,2020-09-28,"patched it up, recommend replacing soon",46.76
90,141,45,2020-07-31,"patched it up, recommend replacing soon",62.25
91,142,89,2020-08-09,topped off fluids and tightened everything,463.14
92,143,41,2025-05-31,"electrical issue fixed, tested all circuits",745.97
93,144,58,2020-12-22,flushed the system and refilled,503.77
94,146,8,2021-03-02,"replaced the part, good to go",792.06
95,147,44,2020-11-22,"welded the crack, structurally sound now",711.41
96,148,93,2024-08-01,"replaced worn components, all good",637.68
97,149,121,2023-05-22,flushed the system and refilled,382.05
98,150,177,2020-08-14,flushed the system and refilled,691.57
99,151,85,2020-01-20,swapped out the old one for a new unit,697.82
100,152,108,2020-10-27,"replaced worn components, all good",696.98
101,153,115,2022-03-25,topped off fluids and tightened everything,222.16
102,157,194,2023-03-28,"patched it up, recommend replacing soon",142.29
103,159,169,2020-06-09,flushed the system and refilled,502.04
104,160,189,2023-08-06,flushed the system and refilled,527.55
105,162,14,2022-10-24,"fixed the issue, test drove it",338.46
106,163,28,2021-07-14,"electrical issue fixed, tested all circuits",582.07
